Policy ID,Policy Type,Coverage Amount,Premium Amount,Policy Start Date,Policy End Date,Payment Frequency,Status,Customer ID,,
POL52956070,Auto,382120,1501.18,2023-10-04,2028-01-06,Monthly,Active,CUST25673219,,
POL39046123,Health,32087,483.06,2021-01-06,2028-06-11,Quarterly,Active,CUST73404920,,
POL51620232,Life,60445,757.14,2018-07-01,2027-08-25,Annually,Lapsed,CUST01691078,,
POL36575612,Property,68226,886.95,2018-10-22,2026-08-06,Annually,Active,CUST30000380,,
POL48412691,Auto,354308,237.23,2022-08-20,2029-05-17,Monthly,Lapsed,CUST31924421,,
POL15402724,Health,39002,1757.07,2019-10-30,2027-12-28,Annually,Lapsed,CUST82780241,,
POL83997445,Property,431985,1615.36,2019-10-11,2024-09-11,Annually,Terminated,CUST57732941,,
POL20505761,Health,320924,261.74,2024-10-27,2032-12-20,Quarterly,Terminated,CUST26702312,,
POL69974800,Property,345959,1252.45,2017-05-04,2021-07-10,Quarterly,Active,CUST32321186,,
POL30601696,Health,147344,255.09,2021-12-31,2025-03-21,Quarterly,Active,CUST37922598,,
POL62179381,Auto,426864,1872.17,2022-06-17,2026-10-23,Monthly,Terminated,CUST81469819,,
POL77239759,Health,239948,1756.6,2022-01-12,2028-03-03,Quarterly,Lapsed,CUST62368924,,
POL44219481,Health,197458,1192.48,2019-02-28,2028-07-17,Annually,Terminated,CUST20014882,,
POL75428993,Life,288667,527.69,2015-12-25,2019-02-19,Annually,Lapsed,CUST80499403,,
POL65504828,Health,195603,1759.66,2015-11-02,2021-10-08,Monthly,Terminated,CUST70215391,,
POL96603488,Life,146452,1737.04,2023-07-13,2032-03-10,Quarterly,Terminated,CUST33662644,,
POL13213398,Auto,46873,1536.7,2018-02-13,2022-10-06,Quarterly,Active,CUST48448849,,
POL27777205,Auto,480192,599.11,2015-10-25,2021-04-18,Monthly,Lapsed,CUST85120425,,
POL30200147,Life,276767,660.18,2022-07-04,2032-06-19,Annually,Active,CUST55837978,,
POL32552913,Property,456557,846.03,2019-03-20,2025-08-30,Quarterly,Lapsed,CUST38923831,,
POL35209226,Auto,92652,142.47,2023-01-01,2027-03-13,Monthly,Lapsed,CUST58439547,,
POL51049013,Life,251162,688.07,2016-12-22,2023-03-20,Monthly,Terminated,CUST24079117,,
POL79914241,Auto,176907,1849.05,2018-06-03,2021-06-12,Monthly,Terminated,CUST96653745,,
POL63077295,Health,334854,582.68,2022-11-23,2027-08-23,Quarterly,Terminated,CUST31891472,,
POL19274658,Property,483238,1259.72,2017-01-08,2026-12-21,Annually,Terminated,CUST15254113,,
POL28043223,Auto,163477,310.86,2022-06-04,2028-12-20,Quarterly,Active,CUST53206356,,
POL43343233,Life,168658,1725.78,2016-04-29,2025-01-28,Annually,Terminated,CUST02447950,,
POL02336146,Health,257448,994.07,2022-04-13,2027-07-29,Monthly,Terminated,CUST79910497,,
POL01239814,Auto,357404,1184.12,2015-06-12,2023-10-04,Annually,Active,CUST91867775,,
POL64805692,Health,49415,1483.23,2018-05-16,2022-09-21,Annually,Terminated,CUST94119943,,
POL79704681,Auto,290735,811.42,2016-12-23,2020-04-04,Annually,Terminated,CUST68517617,,
POL77826609,Life,345291,1580.02,2018-07-20,2021-04-14,Quarterly,Lapsed,CUST71284835,,
POL06037561,Life,314600,1751.73,2024-10-31,2027-06-27,Quarterly,Lapsed,CUST27130653,,
POL50239325,Health,33623,1174.4,2020-09-08,2024-04-19,Annually,Active,CUST04086033,,
POL83266915,Auto,411525,1526.83,2024-09-24,2028-12-16,Monthly,Terminated,CUST70562742,,
POL18867984,Auto,363978,1327.53,2024-10-31,2033-05-23,Monthly,Terminated,CUST32764229,,
POL50802042,Life,213344,1212.56,2020-01-06,2025-01-22,Quarterly,Lapsed,CUST54795828,,
POL76748109,Auto,140627,465.01,2019-11-15,2021-03-09,Monthly,Lapsed,CUST78885562,,
POL48874486,Life,392394,469.83,2015-02-01,2022-06-17,Annually,Active,CUST33244265,,
POL91116374,Property,86485,1903.93,2016-11-05,2026-02-14,Annually,Active,CUST09709314,,
POL91686015,Property,486630,175.56,2018-03-15,2024-01-15,Quarterly,Active,CUST55738104,,
POL13029856,Health,226087,1328.37,2023-12-10,2032-08-03,Quarterly,Lapsed,CUST28568796,,
POL28573734,Auto,381377,221.67,2021-12-29,2026-02-28,Monthly,Active,CUST39886299,,
POL90664485,Auto,147224,1777.44,2016-07-08,2023-02-09,Quarterly,Lapsed,CUST62519479,,
POL25630495,Health,24442,933.89,2017-02-12,2021-10-28,Annually,Lapsed,CUST03591575,,
POL58909677,Property,400332,106.67,2023-03-02,2031-11-12,Monthly,Active,CUST29405035,,
POL21300763,Health,101006,741.17,2022-05-14,2031-03-10,Monthly,Terminated,CUST42357086,,
POL27708077,Health,74443,1851.28,2017-09-26,2026-07-02,Annually,Active,CUST25851292,,
POL97831639,Property,250730,717,2023-05-10,2032-07-24,Quarterly,Lapsed,CUST99294379,,
POL66952651,Life,202161,305.52,2018-06-06,2022-01-13,Quarterly,Lapsed,CUST37934673,,
POL36273981,Health,424309,1346.48,2022-05-08,2027-09-08,Annually,Terminated,CUST70375510,,
POL34621999,Health,484208,1018.8,2023-07-02,2026-12-01,Monthly,Lapsed,CUST03769712,,
POL72333651,Auto,19652,1431.27,2016-12-12,2026-11-26,Annually,Terminated,CUST59559298,,
POL60474745,Auto,204488,1189.7,2022-10-29,2032-03-20,Monthly,Terminated,CUST50443721,,
POL48632113,Auto,345863,873.18,2017-02-17,2019-12-15,Quarterly,Active,CUST63958064,,
POL95138693,Property,496597,1516.77,2015-02-04,2017-10-01,Annually,Lapsed,CUST40389603,,
POL55883370,Property,91037,623.37,2015-04-04,2019-08-08,Quarterly,Terminated,CUST01863550,,
POL45719981,Health,173662,1135.27,2021-06-24,2026-07-25,Annually,Terminated,CUST97609761,,
POL49483988,Auto,55748,330.03,2021-09-28,2024-06-07,Annually,Active,CUST75662303,,
POL01860747,Property,432018,889.86,2018-08-03,2024-10-12,Quarterly,Terminated,CUST69145217,,
POL49959847,Auto,221447,562.4,2018-03-18,2020-09-18,Quarterly,Active,CUST29828643,,
POL69437529,Health,287646,1028.56,2019-12-04,2025-09-06,Quarterly,Terminated,CUST01590733,,
POL71731028,Life,465909,1123.29,2016-02-29,2019-11-19,Monthly,Terminated,CUST82593555,,
POL22702092,Auto,231419,754.5,2022-07-07,2029-11-12,Annually,Terminated,CUST00277838,,
POL21489269,Life,441413,211.68,2021-12-28,2029-07-31,Quarterly,Lapsed,CUST42144401,,
POL45984534,Health,375417,971.47,2020-06-20,2025-03-10,Monthly,Lapsed,CUST47660840,,
POL21893654,Auto,45606,879.41,2024-02-22,2026-11-16,Annually,Terminated,CUST86116437,,
POL88802098,Auto,273960,479.65,2023-08-10,2026-08-07,Quarterly,Active,CUST51519356,,
POL47409156,Health,264789,1905.54,2019-12-24,2026-05-07,Annually,Active,CUST73828464,,
POL12333540,Health,46816,1668.53,2021-08-01,2029-04-13,Annually,Terminated,CUST21128128,,
POL97112066,Auto,343290,1056.55,2024-08-04,2029-06-25,Quarterly,Active,CUST83206040,,
POL83318258,Health,85187,1452.71,2024-03-28,2030-10-03,Monthly,Active,CUST09191986,,
POL98060005,Life,239992,1403.26,2024-03-03,2028-09-25,Annually,Active,CUST08620277,,
POL54140134,Auto,101121,1043.2,2022-01-29,2031-08-06,Monthly,Lapsed,CUST04695158,,
POL68523270,Auto,232985,551.03,2023-02-12,2030-12-23,Quarterly,Active,CUST88220946,,
POL24523489,Life,185550,119.84,2021-01-11,2030-10-01,Annually,Terminated,CUST86360336,,
POL63559916,Auto,293991,1559.1,2024-01-06,2027-12-14,Quarterly,Lapsed,CUST32620909,,
POL04817251,Health,315961,1371.88,2024-12-05,2030-12-03,Annually,Lapsed,CUST50159026,,
POL16158469,Property,291697,162.3,2019-12-03,2024-03-12,Quarterly,Active,CUST08745607,,
POL70411495,Auto,333007,1773.53,2024-11-29,2028-03-15,Annually,Terminated,CUST49016326,,
POL04317062,Life,184280,264.53,2024-03-27,2030-07-06,Quarterly,Lapsed,CUST72652198,,
POL65664761,Health,289837,244.93,2024-01-05,2031-11-15,Quarterly,Lapsed,CUST42907501,,
POL97107834,Auto,106213,1088.26,2018-09-12,2024-09-17,Annually,Lapsed,CUST25095128,,
POL54636114,Life,135480,1918.9,2021-01-31,2027-05-31,Annually,Lapsed,CUST75884494,,
POL46770635,Auto,42831,269.51,2015-03-18,2016-08-30,Annually,Active,CUST63224514,,
POL31689204,Property,74092,1563.36,2015-10-25,2023-02-17,Quarterly,Terminated,CUST50829047,,
POL01562531,Health,80311,780.75,2024-07-07,2027-04-18,Monthly,Active,CUST41801829,,
POL05208106,Auto,409481,162.41,2016-08-05,2019-02-17,Annually,Terminated,CUST90806547,,
POL82154213,Auto,403717,1963.57,2015-02-17,2016-06-23,Quarterly,Terminated,CUST02892033,,
POL93979639,Auto,249856,1824.69,2015-12-26,2020-01-24,Monthly,Active,CUST25235794,,
POL42360341,Property,494603,1737.08,2024-06-11,2033-06-17,Quarterly,Active,CUST37286375,,
POL06836904,Health,194085,1037.14,2018-12-26,2026-03-03,Quarterly,Lapsed,CUST18040436,,
POL56668614,Health,216613,801.06,2023-01-31,2032-07-29,Annually,Active,CUST71549116,,
POL30563403,Health,344108,890.14,2016-10-31,2020-02-24,Quarterly,Active,CUST03785984,,
POL99360572,Health,440794,861.52,2019-11-26,2022-04-27,Monthly,Terminated,CUST86176694,,
POL34787590,Auto,398931,1916.87,2022-01-25,2030-05-26,Quarterly,Lapsed,CUST82342677,,
POL87094510,Health,193514,324.05,2016-12-02,2021-04-06,Monthly,Lapsed,CUST89973347,,
POL39823507,Auto,410538,1015.17,2023-10-11,2030-09-20,Annually,Lapsed,CUST69530630,,
POL27805496,Auto,227002,275.18,2015-11-24,2022-03-31,Annually,Active,CUST48697725,,
POL75285626,Property,229938,957.72,2023-03-30,2033-01-31,Quarterly,Terminated,CUST38324332,,
POL33045617,Auto,220956,288.63,2020-08-09,2028-11-27,Annually,Terminated,CUST87912840,,
POL43978572,Health,327057,1405.9,2021-02-01,2022-08-07,Annually,Active,CUST14150053,,
POL97172919,Property,126771,1118.25,2021-05-23,2028-06-05,Quarterly,Active,CUST61113978,,
POL57660624,Auto,81928,1967.27,2019-01-03,2028-11-10,Quarterly,Lapsed,CUST84444696,,
POL97141577,Property,175514,1004.72,2024-12-15,2029-09-05,Monthly,Lapsed,CUST79853995,,
POL72882206,Property,404422,858.64,2016-10-25,2018-02-22,Annually,Terminated,CUST05834498,,
POL18209726,Property,445308,725.37,2015-03-01,2020-11-29,Annually,Active,CUST90453067,,
POL13830672,Property,232447,1800.99,2024-01-10,2032-10-04,Monthly,Lapsed,CUST70814033,,
POL47058325,Life,221931,436.6,2023-08-20,2030-01-12,Annually,Active,CUST10638398,,
POL81166647,Health,239272,758.71,2016-04-02,2018-01-05,Annually,Active,CUST57771662,,
POL38243316,Property,55791,459.16,2023-09-17,2025-10-09,Monthly,Active,CUST10072038,,
POL54451854,Auto,68103,1196.35,2021-11-03,2029-06-14,Annually,Terminated,CUST86319543,,
POL82263236,Health,367230,1168.47,2021-02-18,2024-09-01,Annually,Terminated,CUST64402425,,
POL90131284,Life,318411,786.87,2024-05-23,2026-02-23,Quarterly,Lapsed,CUST12138426,,
POL26293582,Life,155031,499.26,2017-02-12,2025-09-30,Quarterly,Terminated,CUST93980968,,
POL78678051,Property,476410,269.28,2023-02-13,2030-06-21,Annually,Active,CUST00931814,,
POL47598430,Property,26158,1570.05,2024-05-09,2025-09-04,Quarterly,Active,CUST07975719,,
POL81442858,Health,375571,1988.32,2017-02-13,2026-02-03,Monthly,Lapsed,CUST94694770,,
POL55191578,Health,434502,157.38,2021-01-21,2024-01-05,Monthly,Lapsed,CUST44886949,,
POL27120331,Health,265186,612.64,2020-03-07,2029-09-22,Monthly,Active,CUST66760762,,
POL07162543,Auto,51832,1077.26,2016-12-14,2018-08-18,Monthly,Active,CUST24817468,,
POL95376981,Property,483726,759.62,2024-12-17,2032-09-15,Quarterly,Active,CUST80620284,,
POL52820408,Auto,271449,1752.52,2021-04-19,2026-03-15,Monthly,Terminated,CUST02597184,,
POL19547939,Auto,428483,1282.64,2018-02-03,2023-04-13,Monthly,Terminated,CUST81461842,,
POL68111520,Health,99188,274.16,2021-10-05,2028-03-17,Monthly,Active,CUST84535664,,
POL36499322,Auto,102740,328.55,2020-07-16,2028-05-22,Monthly,Active,CUST81795137,,
POL32150481,Life,241414,1278.33,2019-04-20,2027-04-13,Annually,Terminated,CUST78772723,,
POL88380542,Life,147408,1688.01,2020-04-05,2022-10-11,Monthly,Terminated,CUST35180038,,
POL80647168,Property,120453,1831.12,2019-05-12,2027-09-26,Monthly,Active,CUST30512637,,
POL38987416,Health,42350,664.09,2022-01-09,2028-10-28,Monthly,Active,CUST29662093,,
POL00083014,Life,202142,152.98,2021-09-02,2027-06-19,Quarterly,Terminated,CUST40516075,,
POL31461864,Life,344602,135.38,2020-03-14,2026-03-18,Annually,Terminated,CUST63054181,,
POL54483538,Auto,116896,1572.59,2016-09-22,2020-12-18,Quarterly,Terminated,CUST44342472,,
POL81378407,Property,150335,1598.5,2016-09-26,2025-11-06,Quarterly,Active,CUST78637134,,
POL61308425,Property,420245,1942.6,2023-11-10,2030-08-11,Monthly,Terminated,CUST79016088,,
POL38013131,Auto,41991,1790.2,2022-01-03,2028-04-16,Monthly,Terminated,CUST67038482,,
POL05346323,Life,377821,469.6,2024-04-20,2031-07-26,Monthly,Lapsed,CUST09841369,,
POL64258389,Health,140119,1024.26,2024-07-17,2030-06-01,Monthly,Active,CUST28357312,,
POL17357252,Property,18996,956.31,2015-11-11,2024-12-26,Annually,Active,CUST48850257,,
POL34904099,Health,272809,1124.44,2020-06-12,2026-03-05,Annually,Terminated,CUST27766368,,
POL72738203,Property,390280,149.66,2017-09-17,2022-11-07,Quarterly,Terminated,CUST89789123,,
POL70954405,Life,374009,632.62,2019-08-31,2021-03-07,Monthly,Terminated,CUST31880004,,
POL51543894,Life,380943,939.87,2024-02-02,2032-09-21,Annually,Lapsed,CUST13550777,,
POL80620404,Life,235410,1802.02,2021-06-02,2029-03-12,Annually,Active,CUST44465471,,
POL91781501,Auto,395542,1061.48,2024-05-17,2027-05-05,Annually,Terminated,CUST28258809,,
POL32483993,Property,420010,385.29,2017-12-29,2023-07-23,Quarterly,Lapsed,CUST85782454,,
POL24708378,Property,480930,1670.95,2016-01-21,2021-07-28,Monthly,Lapsed,CUST91731661,,
POL16494384,Life,135597,665.39,2018-11-25,2026-05-08,Quarterly,Active,CUST99752125,,
POL16772067,Property,419673,633.32,2021-07-16,2025-08-03,Annually,Terminated,CUST14765095,,
POL43083313,Property,441767,110.3,2023-06-28,2029-12-02,Annually,Active,CUST46531153,,
POL49745850,Life,275830,297.7,2017-09-16,2026-09-15,Quarterly,Active,CUST34620167,,
POL32270366,Auto,413253,1998.45,2021-04-27,2023-06-17,Quarterly,Terminated,CUST85393599,,
POL76043297,Life,244348,1235.85,2018-10-20,2026-01-23,Quarterly,Terminated,CUST54690850,,
POL60143824,Property,184518,451.76,2016-09-24,2025-06-10,Annually,Active,CUST49025513,,
POL97550763,Property,376780,917.23,2018-10-01,2026-11-07,Quarterly,Lapsed,CUST99491156,,
POL97742612,Health,214878,1410.03,2015-09-20,2023-11-25,Quarterly,Lapsed,CUST19037538,,
POL64302284,Life,356682,268.56,2022-12-01,2030-02-12,Quarterly,Terminated,CUST13120356,,
POL56785706,Health,55923,1131.35,2017-04-12,2025-10-03,Monthly,Terminated,CUST32846580,,
POL80161505,Health,493849,838.25,2017-11-19,2020-11-01,Annually,Active,CUST04000203,,
POL49730272,Health,445568,131.14,2014-12-27,2021-09-24,Monthly,Terminated,CUST78820833,,
POL48692889,Property,412837,186.64,2018-08-27,2025-02-09,Annually,Terminated,CUST81231769,,
POL59708414,Property,173862,796.34,2021-11-20,2025-12-10,Quarterly,Active,CUST23310336,,
POL12912083,Health,170586,1546.55,2021-06-13,2029-05-21,Annually,Active,CUST46066510,,
POL77831101,Life,252855,302.5,2016-06-20,2018-07-11,Annually,Lapsed,CUST68626692,,
POL13181341,Auto,253055,1559.22,2021-07-23,2022-11-25,Quarterly,Terminated,CUST36567638,,
POL28786930,Health,322411,1005.36,2023-09-24,2033-08-10,Annually,Active,CUST66940113,,
POL84549394,Life,476816,1895.29,2015-04-07,2017-06-22,Annually,Active,CUST79911540,,
POL10704502,Life,387265,1955.95,2022-03-07,2025-06-18,Annually,Lapsed,CUST72770326,,
POL38732884,Auto,224029,654.53,2018-10-27,2027-05-24,Annually,Lapsed,CUST28036132,,
POL75720719,Property,217324,1178.78,2022-06-21,2030-02-14,Quarterly,Terminated,CUST60321460,,
POL26162057,Property,498524,1926.13,2024-09-12,2027-09-07,Monthly,Terminated,CUST38042136,,
POL75089142,Health,171074,1616.33,2020-08-03,2028-03-04,Quarterly,Lapsed,CUST61439560,,
POL66183736,Life,60223,675.97,2021-08-13,2025-05-22,Monthly,Lapsed,CUST05450712,,
POL62525398,Property,154435,1893.11,2022-06-10,2026-02-28,Quarterly,Terminated,CUST37913516,,
POL28794187,Auto,357459,1979.12,2021-05-27,2025-09-01,Annually,Active,CUST81990768,,
POL92222297,Life,335760,716.72,2018-01-05,2025-08-06,Quarterly,Terminated,CUST91620963,,
POL01033936,Health,49582,1063.3,2015-05-12,2023-11-28,Monthly,Terminated,CUST24118417,,
POL76374292,Life,209384,1635,2024-05-02,2029-04-20,Monthly,Active,CUST52047636,,
POL87664346,Health,457671,858.11,2016-05-28,2023-03-08,Monthly,Active,CUST92413522,,
POL62189642,Health,250248,1596.32,2020-10-03,2025-06-01,Monthly,Terminated,CUST01201519,,
POL60737583,Life,436656,260.41,2015-04-07,2016-12-13,Quarterly,Active,CUST64207063,,
POL95387029,Life,461997,1328.99,2015-09-13,2016-10-06,Annually,Terminated,CUST03009511,,
POL32733098,Auto,312144,322.6,2017-07-18,2025-06-25,Monthly,Active,CUST75677412,,
POL77019254,Auto,256949,1429.6,2019-02-14,2027-03-01,Annually,Terminated,CUST18606913,,
POL02597557,Life,311114,1853.48,2023-07-29,2033-07-19,Monthly,Terminated,CUST56082389,,
POL45321254,Life,334368,870.18,2024-06-01,2031-05-17,Quarterly,Lapsed,CUST34079657,,
POL24753734,Auto,268269,934.18,2024-02-08,2026-11-01,Annually,Terminated,CUST86185759,,
POL21924883,Property,470195,1378.18,2023-11-17,2025-01-01,Annually,Active,CUST04029713,,
POL45105855,Auto,291122,1455.42,2020-07-16,2025-11-22,Annually,Terminated,CUST37708358,,
POL53613913,Auto,400186,1271.19,2016-12-04,2023-06-11,Quarterly,Active,CUST19737564,,
POL22302710,Auto,104109,1110.15,2023-04-27,2027-04-10,Quarterly,Terminated,CUST00457976,,
POL37452247,Health,488822,574.72,2024-07-04,2033-02-12,Monthly,Active,CUST45887020,,
POL67279435,Property,313685,864.7,2018-08-17,2026-03-10,Monthly,Active,CUST55395846,,
POL61218156,Property,339225,1875.95,2018-09-01,2022-09-07,Quarterly,Terminated,CUST05685909,,
POL38619975,Property,216739,122.36,2016-08-09,2026-07-22,Quarterly,Terminated,CUST12281036,,
POL88503599,Property,289085,488.67,2024-06-29,2031-04-06,Annually,Lapsed,CUST24435883,,
POL69041241,Property,214993,389.54,2016-04-12,2023-04-05,Quarterly,Active,CUST37261327,,
POL46495596,Health,279346,1774.55,2019-07-15,2028-09-17,Monthly,Lapsed,CUST71267407,,
POL34251194,Auto,405303,565.18,2022-05-25,2029-03-14,Annually,Active,CUST75793791,,
POL77104949,Life,296843,632.57,2023-02-21,2031-12-31,Annually,Lapsed,CUST14877396,,
POL40125720,Health,407110,1228.02,2016-08-26,2024-02-02,Quarterly,Active,CUST57815971,,
POL63626262,Auto,20097,1334.1,2021-03-01,2030-01-27,Annually,Lapsed,CUST66017391,,
POL74568057,Auto,171483,640.63,2024-04-11,2027-12-31,Annually,Lapsed,CUST99661721,,
POL52774850,Auto,139461,555.77,2016-09-16,2024-08-05,Quarterly,Active,CUST16021924,,
POL17282682,Life,136145,1233.34,2024-04-26,2025-10-27,Annually,Active,CUST94142986,,
POL81122472,Life,362330,997.75,2023-11-09,2028-04-08,Monthly,Active,CUST52700712,,
POL39104228,Life,306200,509.74,2020-11-16,2025-05-02,Monthly,Lapsed,CUST50637961,,
POL39650167,Property,357244,1237.98,2022-03-11,2031-09-21,Annually,Lapsed,CUST48026120,,
POL76903743,Health,115205,1541.49,2023-06-11,2026-06-07,Quarterly,Terminated,CUST30108387,,
POL82111920,Property,243381,148.96,2015-03-24,2018-11-29,Annually,Active,CUST28917499,,
POL39805762,Health,167087,550.32,2023-03-26,2029-01-08,Quarterly,Terminated,CUST85589913,,
POL50354765,Auto,492655,1055.39,2022-09-03,2029-10-16,Monthly,Active,CUST08450980,,
POL61924951,Auto,262390,660.41,2016-09-13,2025-07-10,Monthly,Terminated,CUST20225726,,
POL48511316,Auto,111882,894.53,2018-02-12,2023-12-26,Annually,Terminated,CUST30476742,,
POL51366884,Health,151784,589.75,2019-06-26,2025-06-02,Annually,Terminated,CUST48173143,,
POL46853221,Health,154487,273.75,2024-06-27,2029-01-26,Quarterly,Active,CUST69457285,,
POL03944211,Property,15972,1004.52,2015-10-06,2021-08-15,Monthly,Lapsed,CUST94332597,,
POL15004770,Life,304826,228.79,2019-01-15,2026-03-26,Quarterly,Lapsed,CUST20309690,,
POL04951844,Health,187358,1926.98,2024-10-03,2031-07-18,Monthly,Active,CUST40987292,,
POL38588789,Property,78399,822.81,2015-02-24,2025-02-08,Quarterly,Lapsed,CUST27802022,,
POL82419107,Auto,90148,1778.29,2016-01-10,2023-12-04,Annually,Active,CUST27928402,,
POL33737447,Auto,50576,1716.88,2024-03-23,2028-11-28,Monthly,Active,CUST54795828,,
POL64767382,Property,246411,185.75,2020-09-05,2026-07-25,Annually,Active,CUST69019373,,
POL23594772,Health,37049,1979.52,2022-05-03,2031-12-11,Monthly,Terminated,CUST86615154,,
POL94518815,Property,453532,1021.59,2022-04-10,2030-09-30,Quarterly,Active,CUST89988266,,
POL37985546,Auto,441924,1923.86,2019-05-29,2026-08-12,Monthly,Active,CUST90005709,,
POL95836164,Auto,439637,947.28,2019-03-03,2023-06-14,Annually,Lapsed,CUST75237860,,
POL41393239,Property,303838,1083.91,2020-01-22,2023-03-06,Monthly,Terminated,CUST45479654,,
POL95244165,Life,192291,378.41,2024-12-02,2031-09-10,Quarterly,Lapsed,CUST86814379,,
POL63274681,Health,137139,1183.17,2015-10-13,2025-10-05,Quarterly,Lapsed,CUST56689353,,
POL97969575,Life,169345,1068.99,2016-08-15,2018-12-03,Monthly,Active,CUST78057650,,
POL33330579,Auto,485212,1025.38,2020-07-12,2026-07-07,Quarterly,Terminated,CUST91459619,,
POL82251135,Health,173816,1571.12,2019-08-22,2024-10-03,Quarterly,Lapsed,CUST94135201,,
POL93411965,Life,139710,1578.89,2024-09-22,2032-06-12,Quarterly,Lapsed,CUST81601074,,
POL22177049,Health,250750,751.5,2016-06-06,2019-06-26,Annually,Terminated,CUST61371484,,
POL02585077,Auto,130822,1280.08,2017-10-01,2020-03-26,Annually,Active,CUST63815413,,
POL01267201,Life,224911,1213.24,2021-08-15,2030-08-09,Monthly,Active,CUST19390619,,
POL45899805,Auto,360216,1310.98,2023-07-08,2027-01-31,Quarterly,Terminated,CUST24185675,,
POL76517809,Auto,493834,586.96,2017-09-16,2025-02-13,Monthly,Active,CUST31962963,,
POL88210682,Life,287990,531.81,2020-12-17,2029-12-28,Annually,Active,CUST35741824,,
POL85021281,Health,488912,1506.96,2023-01-27,2026-07-11,Monthly,Lapsed,CUST69103964,,
POL81192447,Health,448351,305.16,2022-10-17,2028-12-04,Monthly,Active,CUST92381290,,
POL75206437,Property,307267,934.68,2022-03-24,2030-03-18,Annually,Active,CUST87543401,,
POL49763923,Health,279073,1684.29,2023-11-30,2026-09-17,Quarterly,Lapsed,CUST24587752,,
POL10008915,Property,30683,1536.77,2014-12-31,2022-03-12,Annually,Active,CUST81424332,,
POL02313500,Auto,466951,1831.42,2023-06-26,2030-11-26,Quarterly,Terminated,CUST13466437,,
POL09750798,Property,422933,124.22,2016-10-25,2023-10-20,Monthly,Lapsed,CUST97654101,,
