Payment ID,Date of Payment,Amount Paid,Payment Method,Payment Status,Policy ID
PAY25455131,2023-01-08,943.53,Credit Card,Successful,POL46961879
PAY38353271,2023-01-13,730.38,Bank Transfer,Failed,POL30619857
PAY21574684,2022-10-04,829.54,Credit Card,Failed,POL78045083
PAY02564038,2024-08-03,842.11,Cash,Successful,POL39337647
PAY42202633,2023-02-14,716.2,Credit Card,Failed,POL18021070
PAY97878598,2023-03-29,60.33,Cash,Failed,POL76750122
PAY92981765,2024-10-22,476.82,Credit Card,Successful,POL66073787
PAY04936308,2023-03-18,575.64,Bank Transfer,Failed,POL80170716
PAY50872609,2023-06-01,248.9,Bank Transfer,Successful,POL27717636
PAY90324234,2023-07-01,976.14,Credit Card,Failed,POL68917134
PAY59444329,2024-02-24,1300.04,Credit Card,Failed,POL38116452
PAY61476184,2024-05-21,366.41,Cash,Successful,POL83352802
PAY87777836,2023-01-25,482.64,Credit Card,Successful,POL91109221
PAY43986423,2022-01-05,622.9,Bank Transfer,Failed,POL69907310
PAY36108756,2022-05-19,1111.71,Cash,Failed,POL35855900
PAY41543920,2022-12-05,673.14,Cash,Failed,POL74728288
PAY19766369,2024-04-23,1351.89,Cash,Successful,POL79918238
PAY19966051,2021-12-28,855.26,Bank Transfer,Successful,POL53156329
PAY95964937,2023-02-03,122.78,Bank Transfer,Successful,POL20662516
PAY43394679,2022-11-30,708.29,Cash,Failed,POL15506424
PAY93695049,2022-04-20,587.51,Bank Transfer,Successful,POL68885255
PAY78326009,2023-09-24,1101.83,Credit Card,Successful,POL69146247
PAY20946748,2022-09-04,873.25,Credit Card,Failed,POL33853949
PAY98224577,2024-06-07,153.74,Credit Card,Failed,POL98320101
PAY57044240,2024-03-08,735.24,Bank Transfer,Successful,POL88240464
PAY16009231,2023-11-13,1256.68,Bank Transfer,Failed,POL72738203
PAY73687982,2024-04-01,643.25,Bank Transfer,Failed,POL63841611
PAY79066960,2023-03-27,300,Cash,Successful,POL98385553
PAY60341804,2023-12-31,1437.08,Bank Transfer,Successful,POL19972510
PAY17957034,2022-02-10,746.62,Bank Transfer,Failed,POL97266170
PAY81138084,2024-05-08,655.14,Credit Card,Failed,POL55078458
PAY60576294,2024-11-28,938.45,Bank Transfer,Successful,POL63461298
PAY19253746,2022-01-16,773.61,Bank Transfer,Failed,POL80129143
PAY83114509,2024-11-23,1404.96,Bank Transfer,Successful,POL06449689
PAY02232582,2024-01-11,554.07,Bank Transfer,Successful,POL43758168
PAY58408652,2024-08-22,352.94,Cash,Successful,POL88017939
PAY60794812,2022-04-21,340.29,Credit Card,Failed,POL27444083
PAY00363013,2022-06-24,1199.23,Bank Transfer,Successful,POL10754194
PAY66695180,2022-07-03,588.58,Credit Card,Successful,POL28656372
PAY75032532,2022-10-21,1216.4,Bank Transfer,Successful,POL58266398
PAY09416544,2024-09-28,762.4,Credit Card,Failed,POL11516583
PAY13772937,2023-11-29,1091.85,Bank Transfer,Failed,POL04691373
PAY85507710,2023-06-23,110.15,Credit Card,Successful,POL94564854
PAY62337683,2024-10-19,992.28,Credit Card,Failed,POL96274415
PAY46347920,2023-04-06,213.16,Cash,Failed,POL33832316
PAY26392516,2023-05-05,1183.44,Cash,Failed,POL31533848
PAY15542110,2022-06-24,1359.07,Cash,Failed,POL86478823
PAY66206871,2022-11-17,700.58,Bank Transfer,Failed,POL76932868
PAY92930006,2024-11-19,499.21,Bank Transfer,Successful,POL06565717
PAY40050279,2022-05-10,1346.81,Credit Card,Failed,POL36666009
PAY76363350,2023-07-18,1121.18,Bank Transfer,Failed,POL08111147
PAY53745015,2023-02-03,969.36,Cash,Failed,POL45081491
PAY70064579,2024-05-25,1454.96,Cash,Failed,POL63694348
PAY99113645,2022-08-22,1249.75,Bank Transfer,Successful,POL21822034
PAY96226115,2023-05-08,164.93,Cash,Successful,POL13070623
PAY22141953,2023-12-31,1083.47,Bank Transfer,Successful,POL62149179
PAY03568278,2022-03-26,152.09,Credit Card,Failed,POL83258516
PAY07803986,2023-06-08,1154.73,Credit Card,Successful,POL32140351
PAY65298430,2023-12-02,1167.52,Bank Transfer,Failed,POL02312997
PAY96143715,2024-04-05,707.12,Cash,Failed,POL78513544
PAY70409269,2022-02-01,1069.85,Bank Transfer,Failed,POL03845436
PAY90114481,2022-03-23,616.77,Bank Transfer,Failed,POL01681251
PAY35235538,2022-03-14,989.86,Credit Card,Successful,POL34373487
PAY25116857,2023-12-16,1399.78,Cash,Failed,POL88351498
PAY36577326,2024-11-12,676.78,Credit Card,Failed,POL52938288
PAY03768212,2024-01-22,1217.15,Credit Card,Failed,POL45153648
PAY76124418,2022-09-13,1376.39,Cash,Successful,POL96583337
PAY93236596,2024-10-07,250.31,Bank Transfer,Successful,POL16680260
PAY87852335,2022-11-04,221.67,Cash,Successful,POL67510645
PAY98406274,2022-05-16,795.63,Credit Card,Failed,POL83116097
PAY54515029,2022-04-09,1391.88,Credit Card,Failed,POL15948540
PAY07229877,2022-02-21,1483.26,Credit Card,Failed,POL08764986
PAY05750407,2023-06-15,880,Credit Card,Successful,POL78499068
PAY26127195,2023-03-28,355.41,Cash,Successful,POL18608877
PAY56228408,2023-01-17,1012.14,Cash,Successful,POL34306249
PAY11164056,2022-02-25,970.43,Cash,Successful,POL09886051
PAY89311147,2023-09-20,1043.18,Cash,Successful,POL11682509
PAY38564214,2024-07-10,1314.08,Cash,Successful,POL69691492
PAY71439803,2023-08-30,360.59,Cash,Successful,POL92865559
PAY84220599,2024-03-29,798.56,Credit Card,Failed,POL34108237
PAY52475564,2022-11-06,1244.04,Bank Transfer,Failed,POL92351882
PAY58092382,2022-07-13,933.54,Cash,Successful,POL13704102
PAY50986431,2023-11-18,1165.22,Cash,Failed,POL39531025
PAY07477603,2023-04-05,823.12,Credit Card,Successful,POL38182158
PAY30707673,2023-10-03,515.16,Cash,Successful,POL85450794
PAY52711719,2023-06-19,711.03,Credit Card,Successful,POL55315698
PAY96135803,2022-08-07,618.38,Bank Transfer,Successful,POL86299537
PAY87806837,2023-08-22,62.25,Cash,Successful,POL41657581
PAY28080391,2023-03-04,620.51,Credit Card,Failed,POL00874992
PAY37365093,2023-12-13,1283.9,Credit Card,Successful,POL00228879
PAY31559747,2023-08-24,1318.94,Bank Transfer,Successful,POL33352305
PAY82091623,2022-03-19,1331.66,Bank Transfer,Failed,POL39644432
PAY85611452,2023-09-05,1475.58,Bank Transfer,Failed,POL91208117
PAY91287391,2023-12-20,330.62,Bank Transfer,Successful,POL96578326
PAY48314485,2023-10-23,951.85,Cash,Successful,POL94568655
PAY39368200,2024-08-24,1127.03,Cash,Successful,POL69146247
PAY82926844,2023-01-26,820.4,Bank Transfer,Failed,POL89387677
PAY55647203,2024-03-28,485.48,Bank Transfer,Failed,POL96023706
PAY21269372,2022-11-24,969.29,Bank Transfer,Failed,POL02336146
PAY13105314,2023-06-22,404.06,Cash,Successful,POL74477795
PAY72425798,2024-03-21,538.19,Cash,Failed,POL31461864
PAY74738263,2022-09-07,761.45,Bank Transfer,Successful,POL45751576
PAY42094573,2024-05-22,902.76,Cash,Successful,POL58855449
PAY62526371,2023-09-24,1488.48,Bank Transfer,Successful,POL30351443
PAY92082696,2023-07-29,628.95,Bank Transfer,Failed,POL65528035
PAY03039403,2022-06-20,1419.11,Credit Card,Successful,POL12925982
PAY36605213,2022-12-22,215.78,Cash,Successful,POL70698520
PAY82892888,2023-11-11,1308.86,Bank Transfer,Failed,POL23203391
PAY56010076,2023-10-22,595.11,Cash,Failed,POL28853856
PAY88286709,2022-10-14,798.59,Credit Card,Successful,POL54824622
PAY32731847,2024-03-04,870.66,Cash,Successful,POL86234151
PAY72552360,2024-09-30,611.3,Credit Card,Failed,POL82016751
PAY83773684,2022-11-06,1068.51,Cash,Successful,POL14385172
PAY57436817,2024-10-16,667.79,Bank Transfer,Failed,POL99568401
PAY14985955,2024-03-21,1185.95,Credit Card,Failed,POL02004502
PAY96159971,2023-03-01,1308.12,Credit Card,Failed,POL89539607
PAY16211133,2023-04-25,1445.57,Cash,Successful,POL83650350
PAY46006800,2022-12-10,1283.01,Bank Transfer,Successful,POL69068296
PAY22193714,2023-03-18,1211.44,Cash,Failed,POL33049382
PAY12532938,2022-02-27,992.38,Credit Card,Successful,POL65664761
PAY40933801,2024-06-25,1081.1,Bank Transfer,Failed,POL15165645
PAY64924577,2024-02-15,658.31,Credit Card,Successful,POL84549394
PAY83300750,2024-07-18,1077.02,Cash,Successful,POL09884871
PAY90259742,2024-08-24,55.44,Cash,Successful,POL19823419
PAY16906069,2023-12-02,1460.45,Cash,Successful,POL35891090
PAY77762866,2024-03-29,308.26,Bank Transfer,Failed,POL55857160
PAY06600629,2024-03-11,364.41,Bank Transfer,Failed,POL24131589
PAY01366714,2021-12-23,973.22,Cash,Successful,POL13181341
PAY03214505,2024-07-15,1386.67,Credit Card,Failed,POL21893654
PAY13035822,2024-12-12,1335.23,Cash,Successful,POL31194577
PAY98460564,2024-06-02,1005.17,Bank Transfer,Successful,POL54348718
PAY79042841,2023-03-02,785.22,Cash,Failed,POL43533359
PAY13776972,2023-02-25,1320.08,Credit Card,Failed,POL75806090
PAY53643402,2022-06-29,465.79,Cash,Failed,POL09607120
PAY54163715,2022-01-31,897.34,Bank Transfer,Successful,POL81473954
PAY99613031,2022-06-09,1211.08,Bank Transfer,Failed,POL85357404
PAY09212278,2022-03-03,584.73,Credit Card,Failed,POL68099694
PAY24120373,2023-11-20,1251.77,Cash,Successful,POL17436318
PAY43153681,2022-12-29,727.28,Bank Transfer,Failed,POL61445310
PAY91410832,2024-09-28,975,Bank Transfer,Failed,POL25998313
PAY23682900,2024-01-10,1031.25,Credit Card,Failed,POL65284354
PAY61550970,2023-12-10,100.83,Credit Card,Failed,POL11657273
PAY71855954,2024-07-12,807.22,Cash,Successful,POL79051924
PAY32301407,2024-07-16,1479.54,Cash,Successful,POL35077867
PAY76132318,2024-06-17,1134.9,Cash,Failed,POL31729294
PAY95643662,2023-06-30,986.39,Bank Transfer,Failed,POL47598430
PAY49370163,2023-10-18,216.24,Cash,Failed,POL88776548
PAY46406752,2022-05-30,714.96,Cash,Failed,POL43684594
PAY98634188,2024-08-13,919.58,Credit Card,Failed,POL86552601
PAY50661024,2023-10-19,1248.05,Cash,Failed,POL37412181
PAY58994098,2022-11-17,1213.24,Cash,Successful,POL96802208
PAY54976039,2023-08-17,1100.39,Credit Card,Successful,POL29892884
PAY48576029,2024-11-06,1477.76,Bank Transfer,Failed,POL11213350
PAY82390971,2023-05-25,1192.82,Credit Card,Successful,POL79145337
PAY71523073,2022-03-15,875.88,Bank Transfer,Failed,POL21241927
PAY07129426,2024-01-19,744.06,Cash,Failed,POL88177917
PAY53277943,2022-01-16,1264.67,Bank Transfer,Successful,POL31936663
PAY38207761,2024-01-02,980.03,Bank Transfer,Failed,POL91301507
PAY89744174,2022-11-27,655.45,Bank Transfer,Successful,POL82520665
PAY17721134,2022-01-05,864.54,Cash,Failed,POL02648001
PAY64662538,2022-07-14,1236.6,Credit Card,Failed,POL93648130
PAY29558755,2022-11-20,677.93,Credit Card,Successful,POL98433170
PAY07801515,2023-12-09,1361.21,Cash,Failed,POL23599244
PAY69709669,2023-10-09,337.98,Credit Card,Failed,POL89182008
PAY75020726,2022-03-17,1004.39,Credit Card,Failed,POL04101668
PAY59217270,2022-01-28,832.14,Credit Card,Successful,POL17206182
PAY93349893,2022-04-15,184.31,Cash,Successful,POL68879274
PAY96261555,2023-06-22,595.66,Bank Transfer,Failed,POL76734987
PAY18274740,2023-10-18,609.16,Cash,Failed,POL34621999
PAY57535748,2023-07-31,378.06,Cash,Successful,POL16254654
PAY70944236,2023-08-30,677.83,Cash,Successful,POL99602250
PAY76035874,2024-03-23,864.16,Cash,Successful,POL87600552
PAY40661323,2024-04-16,1287.74,Credit Card,Successful,POL26112372
PAY13711651,2023-05-14,1364.44,Bank Transfer,Failed,POL98940145
PAY04486553,2023-09-10,942.93,Bank Transfer,Failed,POL81378407
PAY78479290,2022-10-12,239.1,Credit Card,Successful,POL40288131
PAY71414816,2024-03-19,1388.33,Bank Transfer,Failed,POL22946424
PAY25031732,2023-11-24,1040.8,Bank Transfer,Failed,POL88647419
PAY39642442,2023-08-27,975.73,Bank Transfer,Successful,POL66984423
PAY79333766,2024-07-19,1234.18,Bank Transfer,Failed,POL44476991
PAY02765895,2024-10-17,1350.45,Cash,Failed,POL87625141
PAY13508448,2023-08-03,1183.36,Credit Card,Failed,POL93447913
PAY37041680,2022-09-27,1406.35,Cash,Successful,POL64386769
PAY13302535,2024-05-07,275.5,Credit Card,Successful,POL75784905
PAY24808575,2023-02-26,1154.12,Bank Transfer,Failed,POL06543318
PAY19531576,2023-01-27,1213.31,Bank Transfer,Failed,POL29315631
PAY47679388,2023-01-01,70.35,Cash,Successful,POL25507617
PAY31718493,2022-12-23,71.15,Credit Card,Successful,POL12964771
PAY53248348,2022-09-01,836.54,Cash,Failed,POL10592751
PAY35485347,2023-10-21,1171.99,Bank Transfer,Successful,POL95336212
PAY32221134,2023-11-11,312.65,Cash,Successful,POL24466673
PAY32580582,2022-03-24,306.32,Bank Transfer,Failed,POL20175576
PAY67077723,2022-11-16,682.51,Credit Card,Successful,POL63838195
PAY20944059,2023-03-16,66.55,Cash,Successful,POL17801092
PAY12651123,2022-03-26,497.09,Bank Transfer,Failed,POL76989054
PAY45673239,2022-09-24,217.73,Cash,Successful,POL34042376
PAY44759955,2023-04-03,1039.25,Cash,Successful,POL48112744
PAY57434460,2024-05-05,310.58,Cash,Successful,POL39701482
PAY50375777,2023-01-30,1342.91,Bank Transfer,Failed,POL46303313
PAY05082589,2024-07-20,832.71,Cash,Failed,POL38583909
PAY37479545,2022-07-27,737.35,Cash,Successful,POL98348434
PAY89079939,2022-09-29,179.8,Bank Transfer,Successful,POL25617891
PAY76032399,2024-10-09,931.69,Bank Transfer,Successful,POL68966328
PAY69447355,2024-11-22,750.97,Cash,Failed,POL01267201
PAY29441732,2024-01-05,821.32,Cash,Successful,POL79310767
PAY38929096,2023-01-06,1473.86,Bank Transfer,Successful,POL01356668
PAY86741971,2022-06-27,497.52,Cash,Failed,POL64188394
PAY26628620,2023-05-10,570.52,Cash,Successful,POL83845394
PAY30887883,2022-04-07,1448.29,Credit Card,Successful,POL40546562
PAY27307038,2023-06-18,381.01,Credit Card,Successful,POL23203391
PAY47572215,2024-01-16,1463.42,Credit Card,Failed,POL74597020
PAY40437712,2023-06-30,198.51,Bank Transfer,Failed,POL61913458
PAY81676243,2023-12-15,544.5,Bank Transfer,Successful,POL54524104
PAY04055848,2023-07-15,1057.23,Cash,Successful,POL66952651
PAY51680287,2024-08-17,1310.95,Bank Transfer,Successful,POL91121585
PAY38467490,2024-06-13,80.59,Credit Card,Successful,POL61062551
PAY63321375,2023-02-21,1334.87,Bank Transfer,Failed,POL86299537
PAY16159584,2024-08-08,1310.97,Credit Card,Failed,POL88709617
PAY74865622,2022-01-24,1350.43,Cash,Failed,POL43397255
PAY64162293,2024-05-10,948.01,Credit Card,Successful,POL84360532
PAY98034301,2023-04-09,441.79,Cash,Failed,POL07383816
PAY31296442,2023-10-23,725.2,Cash,Successful,POL06557000
PAY95090459,2022-07-08,1034.15,Credit Card,Failed,POL96832435
PAY83826881,2023-06-01,950.65,Cash,Successful,POL52134760
PAY96720869,2023-11-06,595.34,Cash,Failed,POL13931730
PAY18307090,2024-06-05,744.02,Bank Transfer,Failed,POL68532142
PAY46238103,2023-11-26,793.67,Cash,Successful,POL95524303
PAY75776099,2024-04-06,469.23,Credit Card,Successful,POL69557850
PAY60730693,2022-05-23,1151.92,Cash,Failed,POL30563403
PAY15475792,2022-03-14,419.34,Credit Card,Failed,POL35769314
PAY93991175,2023-02-24,771.45,Credit Card,Failed,POL93399992
PAY19470718,2022-01-29,613.37,Bank Transfer,Successful,POL93327871
PAY29820332,2023-02-26,1411.1,Cash,Failed,POL93504222
PAY74335619,2023-09-30,1083.55,Credit Card,Failed,POL21020862
PAY75895858,2022-11-30,574.54,Credit Card,Successful,POL46201776
PAY70424863,2022-04-28,783.53,Bank Transfer,Successful,POL31856502
PAY14609864,2022-12-06,852.11,Bank Transfer,Failed,POL45309482
PAY51524295,2023-10-13,1176.72,Cash,Successful,POL77188684
PAY64614220,2023-06-12,330.49,Bank Transfer,Failed,POL83057308
PAY11951343,2024-02-04,1481.27,Bank Transfer,Successful,POL11532182
PAY83476182,2024-09-20,72.32,Cash,Failed,POL12305734
PAY63812408,2024-02-24,1434.02,Credit Card,Failed,POL26293582
PAY68033040,2022-12-07,1260.51,Cash,Successful,POL87381995
PAY46783052,2023-08-21,244.75,Bank Transfer,Failed,POL39271824
PAY16624909,2022-02-17,1423.17,Bank Transfer,Successful,POL32721241
PAY59080756,2023-07-27,716.29,Credit Card,Failed,POL40441861
PAY62705828,2023-04-26,643.6,Credit Card,Failed,POL53374047
PAY12936513,2022-07-09,903.43,Bank Transfer,Failed,POL29803500
PAY18888213,2024-10-08,632.17,Bank Transfer,Failed,POL20321964
PAY17591952,2024-01-12,905.82,Bank Transfer,Failed,POL05159511
PAY50016007,2023-08-28,992.96,Bank Transfer,Failed,POL92491659
PAY59993149,2024-02-03,109.34,Cash,Failed,POL91672539
PAY12916761,2024-11-29,210.4,Cash,Successful,POL54750482
PAY04351482,2022-05-12,1327.92,Credit Card,Failed,POL46853221
PAY21701209,2022-05-11,189.54,Cash,Successful,POL78823556
PAY84247190,2024-06-21,754.13,Credit Card,Successful,POL77366966
PAY55276943,2024-03-23,1448.65,Bank Transfer,Successful,POL17357252
PAY92017050,2022-08-21,144.67,Cash,Failed,POL82064166
PAY73267695,2023-06-15,213.87,Credit Card,Failed,POL14768104
PAY47697390,2023-03-08,1306.99,Cash,Failed,POL21533048
PAY97388548,2024-04-09,322.04,Bank Transfer,Failed,POL97881363
PAY48273422,2023-06-10,900.23,Cash,Successful,POL38588789
PAY80675129,2022-09-01,1317.36,Credit Card,Failed,POL59607702
PAY33489157,2023-04-24,1190.71,Credit Card,Failed,POL20597369
PAY02122166,2022-10-28,454.2,Credit Card,Failed,POL69129432
PAY09996932,2023-11-17,1441.47,Credit Card,Failed,POL40860073
PAY82494891,2023-06-13,515.93,Cash,Failed,POL25662324
PAY93243435,2022-03-01,1259.5,Cash,Failed,POL31936663
PAY36709004,2024-03-31,928.61,Bank Transfer,Successful,POL89376913
PAY96417144,2022-06-25,429.36,Cash,Failed,POL10008915
PAY58259878,2023-05-27,783.89,Bank Transfer,Failed,POL10223827
PAY90237545,2023-03-28,465.73,Cash,Failed,POL01033936
PAY45874159,2022-11-14,1414.39,Credit Card,Successful,POL42192806
PAY89514239,2024-11-07,380.55,Credit Card,Successful,POL45394277
PAY64039492,2024-08-03,674.88,Credit Card,Successful,POL37551406
PAY31379978,2022-12-28,765.74,Cash,Successful,POL87381995
PAY03983765,2023-01-20,694.37,Cash,Successful,POL91672539
PAY45156546,2022-04-19,1041.72,Credit Card,Failed,POL07946398
PAY73951818,2024-07-02,1054.81,Credit Card,Successful,POL47001205
PAY42000122,2022-06-22,1249,Credit Card,Successful,POL09615361
PAY24520197,2024-03-21,401.8,Credit Card,Failed,POL25392096
PAY65562283,2023-04-14,1011.8,Credit Card,Failed,POL36528332
PAY34122657,2024-05-31,781.64,Credit Card,Successful,POL92865559
PAY37636384,2023-06-23,1440.36,Bank Transfer,Failed,POL11532182
PAY71165313,2023-10-12,1207.37,Credit Card,Successful,POL67510645
PAY69943565,2022-01-25,140.71,Credit Card,Failed,POL33832316
PAY27586976,2022-12-19,246.55,Bank Transfer,Successful,POL54524104
PAY71768541,2022-09-23,852.89,Cash,Failed,POL53051476
PAY97479258,2022-04-03,1172.84,Credit Card,Failed,POL04448150
PAY23652325,2024-04-04,1322.98,Bank Transfer,Failed,POL60030374
PAY90334487,2023-08-03,737.28,Credit Card,Successful,POL88871637
PAY72648149,2022-10-01,1384.09,Credit Card,Failed,POL93532453
PAY89310578,2022-02-09,951.39,Credit Card,Failed,POL98989117
PAY75931416,2022-01-04,631.2,Credit Card,Successful,POL98972486
PAY09664664,2024-04-01,1474.81,Cash,Successful,POL66183736
PAY45403010,2021-12-23,1238.53,Cash,Failed,POL91532160
PAY98502713,2022-12-12,1203.92,Cash,Failed,POL14393103
PAY64922038,2022-12-31,1166.61,Cash,Failed,POL81122472
PAY33073571,2023-05-04,1069.63,Bank Transfer,Successful,POL56170272
PAY65663071,2023-07-07,1242.85,Bank Transfer,Failed,POL37801835
PAY47187177,2023-05-27,1493,Bank Transfer,Failed,POL04129775
PAY74364578,2023-12-29,1041.25,Bank Transfer,Successful,POL35541554
PAY96630141,2024-03-12,436.07,Credit Card,Failed,POL03499634
PAY95076380,2022-08-03,163.13,Cash,Failed,POL78176386
PAY50759997,2023-11-12,1347.98,Cash,Failed,POL71437971
PAY66202740,2024-12-09,300.73,Bank Transfer,Successful,POL07094060
PAY73332008,2023-02-24,885.19,Cash,Successful,POL71239767
PAY38412866,2024-06-08,946.6,Credit Card,Failed,POL66670427
PAY68237780,2023-09-13,596.81,Bank Transfer,Successful,POL63114558
PAY24677204,2022-07-12,470.69,Credit Card,Failed,POL23599244
PAY62336446,2024-09-20,1379.88,Bank Transfer,Successful,POL19165656
PAY21195634,2022-02-16,1256.63,Cash,Successful,POL83845394
PAY00042428,2022-12-20,1456.94,Bank Transfer,Failed,POL26638176
PAY12818279,2024-12-05,901.65,Credit Card,Successful,POL69546989
PAY52080192,2024-11-01,753.38,Cash,Successful,POL96194303
PAY05468546,2024-02-29,1403.8,Credit Card,Failed,POL47630985
PAY05669055,2022-11-05,641.71,Credit Card,Successful,POL12273521
PAY38756066,2023-11-12,163.33,Cash,Successful,POL32232315
PAY20731361,2022-11-29,1152.28,Credit Card,Successful,POL89850916
PAY81893411,2023-09-12,568.9,Credit Card,Successful,POL29470118
PAY83550357,2022-06-27,1140.83,Cash,Successful,POL09390236
PAY97683456,2024-06-18,1122.7,Cash,Failed,POL29315631
PAY29123645,2022-11-16,374.26,Credit Card,Successful,POL17982019
PAY25395155,2022-04-07,1228.3,Cash,Successful,POL16834109
PAY72802507,2024-08-17,1118.61,Cash,Failed,POL07841878
PAY86594261,2022-08-02,1166.96,Credit Card,Failed,POL27482488
PAY04448815,2021-12-23,84.16,Bank Transfer,Failed,POL95836164
PAY57132552,2022-07-05,293.32,Credit Card,Successful,POL09750798
PAY94296694,2023-03-03,1248.31,Cash,Failed,POL88672866
PAY74267466,2022-02-07,897.07,Cash,Successful,POL07094060
PAY83158533,2023-01-07,885.3,Cash,Successful,POL32660341
PAY20838585,2022-11-07,456.18,Cash,Successful,POL23057519
PAY62511207,2023-04-30,892.67,Cash,Failed,POL57676193
PAY37203091,2022-04-12,1012.13,Cash,Failed,POL13559855
PAY28611884,2022-04-22,114.6,Credit Card,Failed,POL19011462
PAY07670253,2024-10-09,129.34,Credit Card,Successful,POL57578050
PAY72914993,2022-07-02,884.4,Bank Transfer,Failed,POL88048338
PAY87339404,2022-11-16,129,Bank Transfer,Successful,POL64858473
PAY28625995,2022-11-07,1117.72,Bank Transfer,Failed,POL88411869
PAY08462822,2023-01-06,735.72,Bank Transfer,Failed,POL32646006
PAY92437940,2024-01-02,1040.77,Bank Transfer,Successful,POL57116310
PAY04045596,2023-06-09,172.47,Cash,Failed,POL92386046
PAY52364491,2022-10-06,1305.58,Bank Transfer,Successful,POL48245779
PAY72858448,2023-03-11,145.85,Credit Card,Successful,POL27372206
PAY28453114,2023-05-01,948.09,Bank Transfer,Failed,POL73147278
PAY25687609,2022-02-25,1076.17,Bank Transfer,Failed,POL32410068
PAY09436829,2023-03-18,1478.94,Credit Card,Failed,POL25823193
PAY39495224,2023-11-19,221.78,Bank Transfer,Failed,POL09338514
PAY01419335,2022-06-18,1087.26,Cash,Successful,POL30181067
PAY98290390,2022-05-03,139.91,Cash,Failed,POL47001205
PAY94241379,2023-07-05,369.77,Credit Card,Failed,POL12199855
PAY09968115,2024-06-23,373.6,Bank Transfer,Successful,POL54078734
PAY09540325,2023-08-21,1181.3,Bank Transfer,Failed,POL23666757
PAY80557586,2023-07-06,1313.78,Cash,Failed,POL40877445
PAY32735187,2024-08-13,1154.91,Cash,Failed,POL54226110
PAY81469258,2024-01-07,80.52,Cash,Failed,POL07768534
PAY18712219,2023-04-27,495.16,Bank Transfer,Successful,POL60130664
PAY67155725,2022-01-11,1064.02,Cash,Successful,POL98975002
PAY10570166,2024-06-12,1430.36,Bank Transfer,Failed,POL24466673
PAY36045832,2023-10-20,728.67,Cash,Successful,POL92547677
PAY92540957,2022-06-14,83.41,Bank Transfer,Failed,POL86559672
PAY02491521,2024-12-11,1409.89,Credit Card,Successful,POL94687907
PAY66423492,2023-12-05,1067.79,Cash,Failed,POL95639941
PAY46669985,2022-01-25,826.37,Bank Transfer,Successful,POL52933183
PAY69211977,2024-05-07,1478.3,Credit Card,Successful,POL81192447
PAY28577909,2023-05-11,1287.44,Credit Card,Successful,POL86878649
PAY09570814,2024-05-17,957.58,Cash,Failed,POL66022914
PAY15782944,2022-08-11,1456.98,Cash,Failed,POL38638977
PAY18024500,2023-09-06,98.67,Credit Card,Failed,POL13813789
PAY12365667,2023-12-09,345.25,Bank Transfer,Failed,POL83165381
PAY61267819,2022-03-14,1292.52,Cash,Failed,POL02313500
PAY17308658,2022-09-16,1188.07,Cash,Failed,POL04612795
