Agent ID,Renewal Status,Policy Discounts,Risk Score,Policy ID
AGT29094398,Not Renewed,2,38,POL46495596
AGT70466820,Renewed,10,85,POL34251194
AGT03331291,Renewed,40,100,POL77104949
AGT14285330,Pending,21,9,POL40125720
AGT58133289,Not Renewed,10,42,POL63626262
AGT75880461,Renewed,33,32,POL74568057
AGT28086404,Renewed,12,76,POL52774850
AGT92110080,Not Renewed,12,64,POL17282682
AGT05803055,Not Renewed,14,22,POL81122472
AGT27096177,Pending,32,95,POL39104228
AGT75200326,Renewed,28,32,POL39650167
AGT08468404,Pending,34,99,POL76903743
AGT85429771,Pending,43,91,POL82111920
AGT08834079,Pending,15,70,POL39805762
AGT40136857,Renewed,31,98,POL50354765
AGT65268634,Not Renewed,24,88,POL61924951
AGT52644590,Not Renewed,16,79,POL48511316
AGT21732408,Pending,38,82,POL51366884
AGT33119136,Not Renewed,15,43,POL46853221
AGT92652990,Pending,30,98,POL03944211
AGT48496317,Pending,22,76,POL15004770
AGT62754643,Pending,35,31,POL04951844
AGT90274927,Renewed,2,66,POL38588789
AGT47619095,Renewed,15,37,POL82419107
AGT30399450,Not Renewed,31,76,POL33737447
AGT88407038,Not Renewed,25,59,POL64767382
AGT92550011,Pending,11,1,POL23594772
AGT59255361,Renewed,48,52,POL94518815
AGT55291369,Pending,19,73,POL37985546
AGT81423408,Renewed,30,4,POL95836164
AGT73811983,Renewed,46,65,POL41393239
AGT21277595,Pending,16,100,POL95244165
AGT07107431,Not Renewed,27,45,POL63274681
AGT38608444,Renewed,26,82,POL97969575
AGT16776278,Not Renewed,8,90,POL33330579
AGT40467903,Not Renewed,50,5,POL82251135
AGT98652077,Not Renewed,39,2,POL93411965
AGT89903402,Renewed,33,21,POL22177049
AGT99495062,Not Renewed,18,22,POL02585077
AGT43336552,Renewed,36,12,POL01267201
AGT76752602,Not Renewed,20,92,POL45899805
AGT13375237,Not Renewed,34,38,POL76517809
AGT66093598,Pending,22,27,POL88210682
AGT26504252,Not Renewed,25,31,POL85021281
AGT87256601,Pending,23,100,POL81192447
AGT67575849,Renewed,17,54,POL75206437
AGT85550265,Pending,12,49,POL49763923
AGT25205923,Not Renewed,9,66,POL10008915
AGT12390221,Renewed,43,86,POL02313500
AGT61322860,Pending,41,64,POL09750798
AGT26864803,Pending,30,43,POL36666009
AGT63204955,Not Renewed,9,96,POL96855506
AGT70825273,Not Renewed,22,69,POL71516749
AGT98566760,Not Renewed,37,24,POL95480869
AGT59811328,Not Renewed,42,89,POL46131890
AGT50805566,Pending,46,83,POL64900151
AGT14301005,Not Renewed,43,58,POL42034856
AGT51929051,Pending,7,31,POL60897326
AGT99121921,Not Renewed,38,18,POL38380842
AGT25569174,Renewed,40,86,POL51145073
AGT72424925,Renewed,44,93,POL73019543
AGT38458755,Pending,47,55,POL15948540
AGT60864068,Not Renewed,44,42,POL45059272
AGT28919827,Not Renewed,31,60,POL46263397
AGT07435520,Pending,46,44,POL66640089
AGT51523784,Pending,49,25,POL17047233
AGT70998152,Not Renewed,36,14,POL96919228
AGT00146313,Renewed,47,13,POL33693707
AGT85883649,Not Renewed,31,60,POL81185546
AGT80475476,Pending,37,68,POL05429840
AGT44979089,Not Renewed,28,79,POL50110641
AGT66467932,Not Renewed,5,90,POL71744441
AGT71923800,Renewed,22,36,POL80794764
AGT17394553,Pending,21,3,POL64700295
AGT98734146,Not Renewed,42,37,POL98412521
AGT90931380,Pending,18,18,POL23491107
AGT62253770,Renewed,16,84,POL97266170
AGT66575714,Renewed,26,18,POL60046834
AGT21623920,Not Renewed,46,8,POL72656147
AGT34856076,Not Renewed,7,81,POL74554228
AGT43555473,Renewed,42,3,POL98054081
AGT85093159,Renewed,40,36,POL35020187
AGT80474616,Renewed,27,63,POL44308362
AGT28171168,Not Renewed,50,41,POL68261547
AGT07617950,Not Renewed,17,94,POL26905808
AGT73468459,Not Renewed,15,71,POL86166507
AGT33628816,Not Renewed,22,36,POL50777099
AGT85406800,Pending,45,16,POL93547945
AGT14631929,Not Renewed,49,29,POL07046709
AGT86149386,Renewed,44,95,POL21148415
AGT79296092,Not Renewed,45,36,POL82205448
AGT12463171,Not Renewed,7,44,POL12315723
AGT11995357,Not Renewed,37,41,POL47731308
AGT72297030,Renewed,32,29,POL43397255
AGT20358120,Not Renewed,15,32,POL11204815
AGT90750525,Not Renewed,26,50,POL99143995
AGT54961098,Renewed,23,16,POL26146635
AGT19894422,Renewed,43,63,POL26656861
AGT76909046,Not Renewed,43,81,POL35610268
AGT32696972,Pending,26,52,POL85095212
AGT99816509,Pending,14,82,POL50064094
AGT54266292,Not Renewed,49,5,POL21104754
AGT45051677,Not Renewed,5,96,POL17443101
AGT78263439,Renewed,48,2,POL13777499
AGT59897337,Renewed,47,21,POL64793827
AGT84213331,Pending,50,41,POL04297854
AGT40449378,Not Renewed,1,72,POL25054429
AGT43268338,Not Renewed,7,8,POL83519950
AGT53675858,Pending,39,7,POL01371032
AGT98835382,Not Renewed,50,20,POL73793836
AGT93407074,Pending,28,16,POL96932553
AGT00348040,Renewed,39,81,POL28853856
AGT13144167,Not Renewed,17,53,POL65042207
AGT49460453,Pending,8,14,POL94939680
AGT62996888,Renewed,46,8,POL31533848
AGT26125144,Renewed,48,71,POL06413142
AGT69985119,Renewed,39,91,POL28065491
AGT33383010,Renewed,19,20,POL98433170
AGT82813977,Renewed,4,33,POL73294320
AGT42300781,Renewed,19,21,POL14657611
AGT75504303,Renewed,12,43,POL58974752
AGT03747643,Pending,18,58,POL89482669
AGT93944947,Pending,26,16,POL08716825
AGT80747820,Renewed,13,27,POL19720600
AGT84071940,Renewed,47,8,POL16699537
AGT42157835,Renewed,32,73,POL26365674
AGT83682172,Renewed,16,13,POL86711709
AGT21577486,Pending,8,89,POL29474046
AGT65227362,Not Renewed,29,94,POL45601263
AGT63379384,Renewed,45,42,POL61565872
AGT87671508,Pending,50,17,POL52327651
AGT36122798,Not Renewed,17,79,POL40589612
AGT97371857,Not Renewed,48,87,POL72673699
AGT30749142,Pending,6,10,POL86347307
AGT36739708,Not Renewed,46,45,POL74599769
AGT60340010,Not Renewed,43,30,POL02256240
AGT06980160,Not Renewed,13,93,POL02002771
AGT86029376,Renewed,32,69,POL43561258
AGT61857989,Not Renewed,46,96,POL83865881
AGT65044560,Renewed,15,36,POL91395324
AGT74553166,Not Renewed,32,77,POL86285298
AGT65406446,Renewed,11,4,POL86723130
AGT02801413,Renewed,32,69,POL32900389
AGT03963358,Not Renewed,35,27,POL90610731
AGT24601217,Pending,13,95,POL85757109
AGT75655739,Pending,1,10,POL11989725
AGT04068198,Not Renewed,14,7,POL00974449
AGT54296493,Pending,15,98,POL24717008
AGT98147561,Pending,41,34,POL34269181
AGT79867404,Not Renewed,27,51,POL29465290
AGT34644256,Not Renewed,37,9,POL62243302
AGT65027784,Not Renewed,3,46,POL64410288
AGT88433429,Renewed,46,1,POL99021522
AGT64225908,Renewed,36,72,POL82132627
AGT65005869,Not Renewed,34,27,POL60496337
AGT01209107,Pending,37,20,POL15628115
AGT01465812,Not Renewed,22,72,POL62548114
AGT86288403,Pending,41,65,POL29520885
AGT05461212,Pending,29,7,POL30595324
AGT07975754,Not Renewed,9,3,POL03911421
AGT69429138,Pending,17,37,POL90576138
AGT35536138,Renewed,50,27,POL84274065
AGT00641722,Not Renewed,19,19,POL83835374
AGT40962830,Not Renewed,40,9,POL59501098
AGT79861609,Pending,35,84,POL05014236
AGT61029537,Not Renewed,50,33,POL87430711
AGT73748846,Pending,22,81,POL04286300
AGT86034163,Pending,6,29,POL27460532
AGT08467366,Pending,36,56,POL96972550
AGT12336355,Pending,28,41,POL58339093
AGT10392365,Renewed,27,90,POL44082493
AGT26624177,Not Renewed,25,67,POL98942710
AGT73420584,Renewed,47,87,POL33015134
AGT39146162,Renewed,38,44,POL56933693
AGT45807890,Renewed,44,33,POL20256761
AGT35580494,Renewed,25,38,POL85669523
AGT94393892,Pending,8,50,POL59177631
AGT07608627,Pending,15,70,POL81473954
AGT25879867,Pending,30,55,POL03154234
AGT81767306,Not Renewed,12,97,POL56172682
AGT41671470,Not Renewed,28,64,POL33238422
AGT40014491,Renewed,15,65,POL27372206
AGT66833906,Pending,35,65,POL10833752
AGT04218240,Pending,27,67,POL40158884
AGT82540772,Not Renewed,25,70,POL78507070
AGT09891983,Renewed,43,80,POL19362691
AGT91767140,Renewed,34,77,POL06565717
AGT05448098,Pending,35,48,POL26935323
AGT90802149,Pending,35,83,POL71741054
AGT98826706,Pending,36,100,POL72311298
AGT05711061,Pending,18,18,POL89729174
AGT55077663,Pending,15,40,POL86664104
AGT32676513,Pending,37,28,POL80418743
AGT00935369,Pending,49,45,POL37305327
AGT89152710,Not Renewed,34,44,POL89665327
AGT91760284,Not Renewed,33,56,POL50162963
AGT13614081,Renewed,41,52,POL53959309
AGT19516199,Not Renewed,42,76,POL63414573
AGT91524077,Not Renewed,23,85,POL01969422
AGT82335888,Not Renewed,2,48,POL95381325
AGT28123557,Pending,35,29,POL49392272
AGT15376923,Pending,27,77,POL57078202
AGT84060532,Renewed,33,40,POL73942123
AGT06882034,Not Renewed,17,41,POL54249410
AGT29399240,Not Renewed,32,39,POL19058769
AGT42998361,Not Renewed,16,29,POL23237918
AGT55876112,Not Renewed,43,21,POL13071740
AGT42363168,Renewed,22,92,POL97923307
AGT29337837,Not Renewed,9,1,POL96578326
AGT63877762,Pending,21,17,POL84238087
AGT10313012,Renewed,36,74,POL41303027
AGT97870147,Not Renewed,46,63,POL98434828
AGT54017922,Renewed,19,39,POL71218396
AGT75373383,Renewed,44,90,POL66883101
AGT09796446,Pending,38,100,POL95137552
AGT22658073,Pending,7,11,POL45656881
AGT65808447,Pending,30,63,POL38710685
AGT41268647,Not Renewed,3,48,POL13276567
AGT30963575,Pending,41,25,POL31888448
AGT80579410,Renewed,46,74,POL03123237
AGT38091841,Not Renewed,6,96,POL50504166
AGT91969021,Pending,46,20,POL05439001
AGT35547259,Renewed,48,2,POL78750589
AGT34757080,Renewed,34,81,POL18037009
AGT25095694,Renewed,16,63,POL26720328
AGT61529400,Renewed,7,23,POL41993395
AGT14414038,Pending,39,30,POL91390239
AGT54159567,Pending,11,62,POL39627448
AGT79959332,Renewed,15,77,POL78264122
AGT42370275,Renewed,31,92,POL32302882
AGT51057151,Not Renewed,20,86,POL38485615
AGT88067949,Renewed,14,58,POL32589050
AGT85414123,Renewed,39,88,POL45441486
AGT83550386,Not Renewed,24,75,POL47794870
AGT76591497,Renewed,34,5,POL95668571
AGT93966939,Pending,13,40,POL82008946
AGT18850349,Not Renewed,22,46,POL81654453
AGT15410768,Not Renewed,50,76,POL96760097
AGT51312897,Pending,0,98,POL31551903
AGT60919788,Pending,5,35,POL00074761
AGT81761797,Not Renewed,47,83,POL42519290
AGT04159621,Pending,15,95,POL27310887
AGT43990391,Renewed,39,3,POL07816782
AGT89857039,Renewed,25,19,POL60030374
AGT34800062,Renewed,17,100,POL70572993
AGT12751325,Pending,7,43,POL50159442
AGT49908037,Pending,47,77,POL37935124
AGT14925607,Pending,3,23,POL85929126
AGT63123113,Renewed,0,88,POL52938288
AGT22048074,Not Renewed,41,51,POL34332950
AGT69886448,Pending,11,93,POL29296849
AGT30101031,Not Renewed,39,80,POL84512558
AGT01186526,Not Renewed,25,98,POL44115622
AGT20596661,Not Renewed,41,2,POL17801092
AGT70143659,Pending,21,46,POL39256265
AGT67899428,Pending,45,11,POL19672686
AGT88431514,Renewed,46,44,POL76377276
AGT22057330,Pending,30,2,POL03458249
AGT06567193,Not Renewed,12,84,POL39135067
AGT40447474,Renewed,10,9,POL45114954
AGT01771434,Renewed,43,57,POL68938255
AGT23876503,Renewed,16,55,POL02404416
AGT31810478,Renewed,18,100,POL89295458
AGT77505248,Not Renewed,44,1,POL08440937
AGT05271428,Pending,40,7,POL06348797
AGT42352393,Renewed,16,62,POL46127836
AGT92055265,Pending,11,7,POL48522495
AGT22852915,Not Renewed,15,86,POL46902142
AGT11665183,Not Renewed,29,7,POL29133385
AGT50196363,Pending,19,49,POL46194153
AGT09564313,Renewed,50,86,POL17440652
AGT12015932,Not Renewed,15,79,POL72579941
AGT87416341,Pending,31,87,POL82676830
AGT52555788,Not Renewed,8,53,POL28936757
AGT36320756,Not Renewed,4,82,POL12251267
AGT23333689,Renewed,0,12,POL22416843
AGT65637017,Renewed,23,14,POL68142821
AGT79208224,Pending,8,69,POL80669381
AGT98462246,Renewed,1,94,POL32822609
AGT23957669,Pending,17,57,POL29059161
AGT29563787,Renewed,4,19,POL21189445
AGT53155950,Renewed,24,87,POL09615361
AGT44121822,Renewed,4,52,POL27717636
AGT92189752,Not Renewed,46,82,POL85798962
AGT99940899,Renewed,13,32,POL66167857
AGT05509013,Pending,40,64,POL69786310
AGT59293034,Not Renewed,13,4,POL71010293
AGT27843033,Not Renewed,39,47,POL00811165
AGT39363349,Pending,34,57,POL61699231
AGT28100567,Not Renewed,37,50,POL89580964
AGT93130750,Pending,31,72,POL96606923
AGT61674774,Renewed,50,86,POL03979350
AGT74520619,Pending,17,73,POL36321695
AGT60301160,Not Renewed,16,21,POL88479195
AGT15875136,Pending,32,45,POL16832610
AGT23508780,Not Renewed,20,81,POL24247688
AGT55711586,Renewed,10,25,POL92479874
AGT14318850,Pending,10,39,POL82794219
AGT28512415,Pending,9,76,POL53944841
AGT53076635,Renewed,23,13,POL95771628
AGT44218548,Pending,16,34,POL73436304
AGT61369571,Pending,33,40,POL93878741
AGT84994124,Pending,26,16,POL11162574
AGT37006469,Pending,48,85,POL49030532
AGT26200980,Renewed,15,54,POL75052846
AGT11955837,Renewed,47,20,POL06150370
AGT20680653,Not Renewed,43,58,POL94072462
AGT00295980,Not Renewed,18,18,POL30459208
AGT43731040,Renewed,21,13,POL08890801
AGT48453053,Not Renewed,41,85,POL66485877
AGT58034403,Not Renewed,19,12,POL90601372
AGT46863922,Renewed,45,47,POL35164229
AGT59933943,Renewed,13,95,POL79738375
AGT86609581,Pending,20,53,POL78451531
AGT76468746,Pending,40,64,POL84977364
AGT56444621,Renewed,7,10,POL38205564
AGT26030580,Renewed,26,55,POL20683862
AGT05331358,Renewed,19,90,POL53660854
AGT65775922,Renewed,3,63,POL89180223
AGT04486663,Renewed,21,90,POL45095642
AGT26326271,Not Renewed,30,35,POL48690249
AGT72581630,Not Renewed,26,76,POL27435543
AGT93643113,Renewed,14,48,POL68371036
AGT91902175,Not Renewed,9,17,POL39957242
AGT38570739,Renewed,50,82,POL90638463
AGT66218206,Not Renewed,2,50,POL11199753
AGT87744221,Not Renewed,49,95,POL36528332
AGT13149600,Not Renewed,3,14,POL56889817
AGT32830470,Not Renewed,12,13,POL08801313
AGT98314352,Pending,15,100,POL68995549
AGT74671912,Not Renewed,13,35,POL29536417
AGT75028371,Not Renewed,37,38,POL53530629
AGT95222087,Renewed,45,86,POL21160213
AGT08418311,Not Renewed,23,70,POL93493038
AGT76851801,Not Renewed,18,17,POL19547339
AGT36372660,Not Renewed,39,65,POL29207038
AGT82297821,Not Renewed,33,76,POL56397262
AGT19604991,Pending,9,42,POL51164854
AGT34618821,Not Renewed,4,19,POL76939080
AGT51334907,Not Renewed,31,80,POL78820382
AGT70273913,Pending,11,74,POL84852929
AGT95453708,Not Renewed,42,73,POL46236340
AGT69036559,Pending,36,96,POL82812519
AGT66789942,Renewed,50,21,POL21798029
AGT48351547,Not Renewed,35,59,POL33833286
AGT22059685,Not Renewed,33,97,POL81238149
AGT60955538,Not Renewed,26,8,POL25740876
AGT24794414,Renewed,12,60,POL26074452
AGT86783505,Pending,3,37,POL76989054
AGT90965776,Not Renewed,39,5,POL48662696
AGT89731562,Pending,31,7,POL85747478
AGT77347831,Not Renewed,12,87,POL31489077
AGT94990380,Not Renewed,49,21,POL03785266
AGT84132566,Pending,15,13,POL64965934
AGT31903078,Renewed,31,24,POL14267045
AGT48909983,Pending,16,11,POL79867486
AGT79645240,Pending,45,2,POL21441518
AGT96099923,Renewed,7,6,POL66208661
AGT24162859,Pending,8,38,POL46009613
AGT31696641,Renewed,31,74,POL42638741
AGT69053783,Renewed,49,85,POL88399292
AGT38605811,Not Renewed,28,50,POL06081128
AGT11203288,Not Renewed,32,64,POL96274415
AGT86130037,Pending,30,70,POL39707981
AGT83845705,Not Renewed,49,92,POL45684772
AGT80019493,Pending,11,14,POL21114405
AGT14439757,Renewed,48,22,POL59977317
AGT11877671,Not Renewed,16,100,POL50807231
AGT30035911,Renewed,4,25,POL95336212
AGT90855653,Renewed,7,71,POL02246754
AGT93677555,Not Renewed,11,72,POL89873736
AGT96066764,Renewed,15,17,POL03710995
AGT64207575,Not Renewed,13,19,POL77366966
AGT94307195,Not Renewed,28,20,POL20381025
AGT43949223,Not Renewed,26,92,POL61983383
AGT44732334,Not Renewed,48,45,POL77573599
AGT33192592,Renewed,29,40,POL04143745
AGT76816334,Renewed,34,67,POL03368809
AGT90492019,Pending,30,8,POL45634456
AGT07486483,Renewed,30,74,POL09445725
AGT69327626,Renewed,24,67,POL26928183
AGT22345488,Renewed,28,35,POL69652935
AGT31153483,Renewed,10,5,POL13413511
AGT60845054,Pending,5,73,POL57495535
AGT00550522,Pending,7,60,POL32252482
AGT74959165,Renewed,42,5,POL97931166
AGT85407316,Renewed,22,14,POL89983994
AGT39080367,Pending,38,73,POL54056565
AGT06102604,Not Renewed,50,57,POL80143604
AGT87157372,Renewed,9,99,POL26020657
AGT17088252,Renewed,2,31,POL92151932
